,มหาวิทยาลัย,คณะ,ชื่อหลักสูตร,ชื่อหลักสูตรภาษาอังกฤษ,ประเภทหลักสูตร,วิทยาเขต,ค่าใช้จ่าย,อัตราการสำเร็จการศึกษา,อัตราการได้งานทำ,ค่ามัธยฐานเงินเดือน,รอบ 1 Portfolio,รอบ 2 Quota,รอบ 3 Admission,รอบ 4 Direct Admission,ละติจูด,ลองจิจูด
268,มหาวิทยาลัยสงขลานครินทร์,วิศวกรรมเครื่องกล,วศ.บ. วิศวกรรมเครื่องกล,Bachelor of Engineering Program in Mechanical Engineering,ภาษาไทย ปกติ,หาดใหญ่,"อัตราค่าเล่าเรียน 18,000.-/ภาคการศึกษา",ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,50,20,10,0,7.0091017,100.4869945
269,มหาวิทยาลัยสงขลานครินทร์,วิศวกรรมเมคคาทรอนิกส์,วศ.บ. วิศวกรรมเมคาทรอนิกส์,Bachelor of Engineering Program in Mechatronics Engineering,ภาษาไทย ปกติ,หาดใหญ่,"อัตราค่าเล่าเรียน 18,000.-/ภาคการศึกษา",ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,15,15,5,0,7.0091017,100.4869945
270,มหาวิทยาลัยสงขลานครินทร์,วิศวกรรมสิ่งแวดล้อม,วศ.บ. วิศวกรรมสิ่งแวดล้อม,Bachelor of Engineering Program in Environmental Engineering,ภาษาไทย ปกติ,หาดใหญ่,"อัตราค่าเล่าเรียน 18,000.-/ภาคการศึกษา",ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,10,20,0,0,7.0091017,100.4869945
271,มหาวิทยาลัยสงขลานครินทร์,วิศวกรรมเหมืองแร่,วศ.บ. วิศวกรรมเหมืองแร่และวัสดุ,Bachelor of Engineering Program in Mining and Materials Engineering,ภาษาไทย ปกติ,หาดใหญ่,"อัตราค่าเล่าเรียน 18,000.-/ภาคการศึกษา",ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,40,20,15,0,7.0091017,100.4869945
272,มหาวิทยาลัยสงขลานครินทร์,วิศวกรรมอุตสาหการ,วศ.บ. วิศวกรรมอุตสาหการ,Bachelor of Engineering Program in Industrial Engineering,ภาษาไทย ปกติ,หาดใหญ่,"อัตราค่าเล่าเรียน 18,000.-/ภาคการศึกษา",ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,30,30,20,0,7.0091017,100.4869945
273,มหาวิทยาลัยสงขลานครินทร์,วิศวกรรมเชิงนวัตกรรม,วศ.บ. วิศวกรรมและการจัดการนวัตกรรม (หลักสูตรนานาชาติ),Bachelor of Engineering Program in Innovation Engineering and Management (International Program),นานาชาติ,หาดใหญ่,"อัตราค่าเล่าเรียน 59,000.-/ภาคการศึกษา",ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,250,60,10,20,7.0091017,100.4869945
274,มหาวิทยาลัยอุบลราชธานี,วิศวกรรมทั่วไป,"วิศวกรรมศาสตรบัณฑิต [สาขาวิชาวิศวกรรมเครื่องกล, สาขาวิชาวิศวกรรมอุตสาหการ, สาขาวิชาวิศวกรรมโยธา, สาขาวิชาวิศวกรรมไฟฟ้า, สาขาวิชาวิศวกรรมเคมีและสาขาวิชาวิศวกรรมสิ่งแวดล้อม (เลือกสาขาวิชาเมื่อขึ้นชั้นปีที่ 2)]",Bachelor of Engineering Program,ภาษาไทย ปกติ,วิทยาเขตหลัก,"อัตราค่าเล่าเรียน 15,000 ต่อภาคการศึกษา หรือ 120,000 ตลอดหลักสูตร",ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,450,400,150,0,15.1172348,104.8925729
275,มหาวิทยาลัยอุบลราชธานี,วิศวกรรมเมคคาทรอนิกส์,วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเมคคาทรอนิกส์และระบบอัตโนมัติ,Bachelor of Engineering Program,ภาษาไทย ปกติ,วิทยาเขตหลัก,"อัตราค่าเล่าเรียน 25,000 ต่อภาคการศึกษา หรือ 200,000 ตลอดหลักสูตร",ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,0,100,30,40,15.1172348,104.8925729
276,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,วิศวกรรมการเงิน,วศ.บ. วิศวกรรมการเงิน (หลักสูตรนานาชาติ),B.Eng. Financial Engineering (International Program),Double Degree - นานาชาติ พิเศษ,ลาดกระบัง,"120,000 ต่อภาคการศึกษา",อัตราการจบการศึกษา ร้อยละ 85 ของนักศึกษา ปีการศึกษา 2565,ไม่ระบุ,ไม่ระบุ,105,10,5,0,13.7298889,100.7756574
277,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,วิศวกรรมการผลิต,วศ.บ. วิศวกรรมการผลิตเชิงบูรณาการ,B.Eng. Integrated Production Engineering,ภาษาไทย ปกติ,ลาดกระบัง,"37,000 ต่อภาคการศึกษา",ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,55,3,0,3,13.7298889,100.7756574
